Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Great Averill,Averill,,7/21/2018,,,6,,,1,
Great Hosmer,Craftsbury,,7/21/2018,,,5,,,1,
Green River,Hyde Park,,7/21/2018,,,14,2,,1,
Groton,Groton,,7/21/2018,,,6,1,,1,
Grout,Stratton,,7/21/2018,,,0,,,1,"0 on 7/21, 7/20 2A charles davis"
Halls,Newbury,,7/21/2018,,,1,,,1,
Happenstance Farm,Goshen,,7/21/2018,,,1,,,1,
Hardwick,Hardwick,,7/23/2018,,,2,1,,1,7/23
Hardwood,Elmore,,7/21/2018,,,1,,,1,
Harriman,Whitingham,,7/22/2018,,,2,,,1,7/22/2018; 7/19 1A Charles Caron
Hartwell,Albany,,7/21/2018,,,1,,,1,
Harveys,Barnet,,7/21/2018,,,3,,,1,
Holland,Holland,,7/21/2018,,,5,,,1,
Hortonia,Hubbardton,,7/21/2018,10:00,,3,,,1,mid a.m. 7/21 Karen Bourque
Inman,Fair Haven,,7/21/2018,,,1,,,1,
Iroquois,Hinesburg,,7/21/2018,,,2,,,1,Not assigned but did survey this day
Island,Brighton,,7/21/2018,10:00,,5,1,,1,10 a.m.  7/21 Barry Hughes 1A1C 8:07 a.m
Jobs,Westmore,,7/21/2018,,,2,2,,1,
Joe's,Danville,,7/21/2018,,,3,2,,1,
Keiser,Danville,,7/21/2018,,,2,,,1,
Kent,Killington,,7/21/2018,,,3,,,1,
Kettle,Peacham,,7/21/2018,,,2,,,1,
Knapp Br1,Cavendish,,7/21/2018,,,1,,,1,"Other A on hidden nest, 1 on 7/22/2018"
Knapp Br2,Cavendish,,7/22/2018,,,0,,,1,7/22
Levi,Groton,,7/21/2018,,,1,,,1,
Lewis,Lewis,,7/21/2018,,,2,,,1,
Little Averill,Averill,,7/21/2018,,,3,,,1,7/14 6Ad
Little Hosmer,Craftsbury,,7/21/2018,,,3,,,1,"2 flew 8:30,  10 min. later 2 obs. Other end…likely 1 came back and joined the one that did not fly."
Little Salem,Derby,,7/21/2018,,,2,,,1,
Long (Eden),Eden,,7/22/2018,,,2,1,,1,7/22
Long (Greensboro),Greensboro,,7/21/2018,,,1,2,,1,
Long (Sheffield),Sheffield,,7/21/2018,,,0,,,1,
Long (Westmore),Westmore,,7/21/2018,,,1,,,1,"2A in flight 8 am., then 1 kept going toward Willoughby, other landed"
Lowell,Londonderry,,7/21/2018,,,2,,,1,
Lyford,Walden,,7/21/2018,,,2,1,,1,
Maidstone,Maidstone,,7/21/2018,,,6,4,,1,
Marshfield Pond (Turtlehead Pond),Marshfield,,7/21/2018,,,2,,,1,
Martin's,Peacham,,7/21/2018,,,2,1,,1,
May,Barton,,7/21/2018,,,3,,,1,"chick in hiding, obs. Later in day.  2A flew in at 8:05"
McConnell,Brighton,,7/20/2018,,,0,,,1,20-Jul
Memphremagog,Derby,,7/21/2018,,,10,,,1,"5 zones: 4 surveyors.  Zone 2-5A, Z3-3A, Z2-1A, Z5-1A"
Metcalf,Fletcher,,7/21/2018,,,2,,,1,
Miles,Concord,,7/21/2018,,,5,1,,1,
Mill,Windsor,,7/21/2018,,,0,,,1,
Miller,Strafford,,7/21/2018,,,3,,,1,
Mollys,Cabot,,7/21/2018,,,2,,,1,
Mollys Falls,Marshfield,,7/21/2018,,,3,1,,1,
Moore,Waterford,,7/21/2018,,,0,,,1,
Morey,Fairlee,,7/21/2018,,,2,,,1,
Mud (Hyde Park),Hyde Park,,7/22/2018,,,0,,,1,7/22
Mud (Leicester),Leicester,,7/21/2018,,,0,,,1,
Mud (Morgan),Morgan,,7/21/2018,,,0,,,1,
Mud (Peacham),Peacham,,7/21/2018,,,2,,,1,
Neal,Lunenberg,,7/21/2018,,,2,,,1,
Nelson,Woodbury,,7/21/2018,,,1,,,1,
Newark,Newark,,7/21/2018,,,4,,,1,
Nichols,Woodbury,,7/21/2018,,,3,,,1,
Ninevah,Mt. Holly,,7/21/2018,,,2,1,,1,
No. 10 (Mirror),Calais,,7/21/2018,,,4,,,1,
North Montpelier,East Montpelier,,7/21/2018,,,0,,,1,
North Springfield,Springfield,,7/22/2018,,,0,,,1,7/22
Norton,Norton,,7/21/2018,,,8,2,2,1,
Notch,Ferdinand,,7/21/2018,,,1,,,1,
Noyes,Groton,,7/21/2018,,,2,,,1,
Nulhegan,Brighton,,7/21/2018,,,0,,,1,
Old Marsh,Fair Haven,Keith Hanf,7/20/2018,,,1,1,,1,7/20 Keith Hanf 1A1C
Osmore,Groton,,7/21/2018,,,2,2,,1,7/22 Tim Blanshard 3A2C
Page,Albany,,7/21/2018,,,0,,,1,
Parker,Glover,,7/21/2018,,,3,,,1,
Peacham,Peacham,,7/21/2018,,,13,,,1,
Pensioner,Charleston,,7/21/2018,,,2,,,1,
Perch (Benson),Benson,,7/21/2018,,,0,,,1,
Pigeon,Groton,,7/22/2018,,,2,2,,1,7/22
Pinneo,Hartford,,7/21/2018,,,0,,,1,
Raponda,Wilmington,,7/21/2018,,,3,,,1,
Rescue,Ludlow,,7/21/2018,,,4,,,1,2A bruce flewlling
Ricker,Groton,,7/21/2018,,,1,,,1,
Rood,Williamstown,,7/20/2018,,,1,,,1,7/20
Round (Holland),Holland,,7/21/2018,,,2,,,1,12/30
Round (Newbury),Newbury,,7/21/2018,,,2,,,1,
Round (Sheffield),Sheffield,,7/21/2018,,,0,,,1,
Runnemede,Windsor,MIchael Foster,7/22/2018,,,0,,,1,7/22 Michael Foster 0A
Salem,Derby,,7/21/2018,,,0,,,1,
Searsburg,Searsburg,,7/21/2018,,,0,,,1,
Seymour,Morgan,,7/21/2018,,,10,,,1,
Shadow (Concord),Concord,,7/21/2018,,,4,,,1,
Shadow (Glover),Glover,,7/21/2018,,,2,,,1,
Shelburne,Shelburne,,7/20/2018,,,0,,,1,7/20
Silver (barnard),Barnard,,7/21/2018,,,2,,,1,
Silver (Leicester),Leicester,,7/21/2018,,,2,,,1,
Sodom,Calais,,7/20/2018,,,0,,,1,7/20
Somerset,Somerset,,7/21/2018,,,6,1,,1,
South (Eden),Eden,,7/21/2018,,,3,2,,1,
South (Marlboro),Marlboro,,7/21/2018,,,2,2,,1,
South America,Ferdinand,,7/21/2018,,,0,,,1,
South Bay,Newport City,,7/21/2018,,,0,,,1,
Spectacle,Brighton,,7/21/2018,,,1,2,,1,"0 obs. At 8 am, entire family there at 10:15 so at least 1A and 2C missed at 8 am"
Spring,Shrewsbury,,7/21/2018,,,3,1,,1,
Stiles,Waterford,,7/21/2018,,,2,,,1,
Stratton,Stratton,,7/21/2018,,,1,,,1,
Sugar Hill Res.,Goshen,,7/21/2018,,,1,2,,1,
Sunrise (Benson),Benson,,7/21/2018,,,0,,,1,
Sunset (Benson),Benson,,7/21/2018,,,1,,,1,
Sunset (Marlboro),Marlboro,,7/20/2018,,,2,,,1,7/20
Thurman Dix,Orange,,7/21/2018,,,2,1,,1,
Ticklenaked,Ryegate,,7/21/2018,,,2,,,1,
Turtle,Holland,,7/21/2018,,,1,,,1,
Wallingford,Wallingford,,7/21/2018,,,2,,,1,
Wantastiquet,Weston,,7/21/2018,,,1,,,1,
Wapanacki,Hardwick,,7/21/2018,,,0,,,1,
Warden,Barnet,,7/21/2018,,,2,,,1,
Waterbury - South end,Waterbury,,7/21/2018,,,2,,,1,
West Mountain,Maidstone,,7/21/2018,,,1,,,1,
Wheeler,Brunswick,,7/21/2018,,,2,,,1,
Wolcott,Wolcott,,7/21/2018,,,2,1,,1,2 flew off 7:45 to SE
Woodward,Plymouth,,7/21/2018,,,2,1,,1,7/19 5A1C charles davis
Wrightsville,Worcester,,7/21/2018,,,0,,,1,
Zack Woods,Hyde Park,,7/22/2018,,,2,1,,1,7/22
