Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Memphremagog,Derby,,7/19/2014,,,10,,,1,
Metcalf,Fletcher,,7/19/2014,,,2,2,,1,
Miles,Concord,,7/19/2014,,,5,2,,1,
Miller,Strafford,,7/19/2014,,,2,1,,1,
Mollys Falls,Marshfield,,7/19/2014,,,3,2,,1,
Monkton (Cedar),Monkton,,7/19/2014,,,0,,,1,
Moore,Waterford,,7/19/2014,,,3,,,1,
Morey,Fairlee,Kellie,7/19/2014,,,0,,1,1,"1 by Kellie, 2 by Angela"
Moses,Weston,,7/19/2014,,,0,,,1,3-4 adults missing from the area - NH?
Mud (Hyde Park),Hyde Park,,7/19/2014,,,0,,,1,
Mud (Peacham),Peacham,,7/19/2014,,,1,,,1,
Nelson,Woodbury,,7/19/2014,,,0,,,1,
Newark,Newark,,7/19/2014,,,2,1,,1,
Ninevah,Mt. Holly,,7/19/2014,,,2,2,,1,
Norton,Norton,,7/19/2014,,,8,2,,1,
Notch,Ferdinand,,7/19/2014,,,2,,,1,
Noyes,Groton,,7/19/2014,,,1,,,1,
Nulhegan,Brighton,,7/19/2014,,,0,,,1,
Osmore,Groton,,7/19/2014,,,2,,,1,
Parker,Glover,,7/19/2014,,,0,,,1,missed
Peacham,Peacham,,7/19/2014,,,13,1,,1,
Pensioner,Charleston,,7/19/2014,,,1,,,1,
Pigeon,Groton,,7/19/2014,,,2,,,1,
Pinneo,Hartford,,7/19/2014,,,0,,,1,
Pleiad,Hancock,,7/19/2014,,,1,,1,1,
Raponda,Wilmington,,7/19/2014,,,0,,,1,
Ricker,Groton,,7/19/2014,,,2,,,1,
Rood,Williamstown,,7/19/2014,,,0,,,1,
Round (Holland),Holland,,7/19/2014,,,3,,,1,
Salem,Derby,,7/19/2014,,,7,,,1,
Searsburg,Searsburg,,7/19/2014,,,0,,,1,
Seymour,Morgan,,7/19/2014,,,2,2,,1,
Shadow (Concord),Concord,,7/19/2014,,,1,,,1,
Shadow (Glover),Glover,,7/19/2014,,,1,,,1,
Silver (Leicester),Leicester,,7/19/2014,,,0,,,1,
Somerset,Somerset,,7/19/2014,,,8,2,,1,
South (Eden),Eden,,7/19/2014,,,2,2,,1,
South (Marlboro),Marlboro,,7/19/2014,,,2,2,,1,
South Bay,Newport City,,7/19/2014,,,2,2,,1,
Spectacle,Brighton,,7/19/2014,,,2,,,1,
Spring,Shrewsbury,,7/19/2014,,,2,,,1,
St. Catherine,Wells,,7/19/2014,,,0,,,1,
Star,Mount Holly,,7/19/2014,,,0,,,1,ebird
Sugar Hill Res.,Goshen,,7/19/2014,,,2,,,1,
Sunrise (Benson),Benson,,7/19/2014,,,0,,,1,
Sunset (Benson),Benson,,7/19/2014,,,0,,,1,
Sunset (Marlboro),Marlboro,,7/19/2014,,,1,,,1,
Thurman Dix,Orange,,7/19/2014,,,2,,,1,
Ticklenaked,Ryegate,,7/19/2014,,,0,,,1,
Toad,Charleston,,7/19/2014,,,0,,,1,
Turtle,Holland,,7/19/2014,,,0,,,1,
Wallace,Canaan,,7/19/2014,,,1,,,1,
Wallingford,Wallingford,,7/19/2014,,,1,2,,1,
Wantastiquet,Weston,,7/19/2014,,,3,2,,1,
Wapanacki,Hardwick,,7/19/2014,,,0,,,1,missed
Warden,Barnet,,7/19/2014,,,3,0,,1,
Waterbury - South end,Waterbury,,7/19/2014,,,3,,,1,
West Hill,Cabot,,7/19/2014,,,1,,,1,
West Mountain,Maidstone,,7/19/2014,,,1,,,1,
Wheeler,Brunswick,,7/19/2014,,,0,,,1,
Willoughby,Westmore,,7/19/2014,,,8,,2,1,
Wolcott,Wolcott,,7/19/2014,,,5,,,1,
Woodbury,Woodbury,,7/19/2014,,,4,2,,1,
Woodward,Plymouth,,7/19/2014,,,2,1,,1,
Wrightsville,Worcester,,7/19/2014,,,0,,,1,
Zack Woods,Hyde Park,,7/19/2014,,,2,1,,1,
