Lake,Town,Observer,Date,Start,Stop,Adults,Chicks,SubAdults,Survey,Comments
Grout,Stratton,,7/16/2005,,,0,0,0,1,
Halls,Newbury,,7/16/2005,,,0,0,,1,
Hardwick,Hardwick,,7/16/2005,,,2,1,,1,
Hardwood,Elmore,,7/16/2005,,,0,0,,1,
Harriman,Whitingham,,7/16/2005,,,0,0,,1,
Hartwell,Albany,,7/16/2005,,,0,0,,1,
Harvey's,Barnet,,7/16/2005,,,3,0,,1,
Holland,Holland,,7/16/2005,,,4,1,,1,
Island ,Brighton,,7/16/2005,,,4,0,,1,
Jobs,Westmore,,7/16/2005,,,2,0,,1,
Keiser ,Danville,,7/16/2005,,,2,2,,1,
Kent,Sherburne,,7/16/2005,,,0,0,,1,
Little Averill,Averill,,7/16/2005,,,5,0,,1,
Little Rock,Wallingford,,7/16/2005,,,0,0,,1,
Long (Eden),Eden,,7/16/2005,,,0,0,,1,
Long (Greensboro),Greensboro,,7/16/2005,,,2,0,,1,
Long (Westmore),Westmore,,7/16/2005,,,1,0,,1,
Lower Symes,Ryegate,,7/15/2005,,,2,2,,1,frid. Survey
Lyford,Walden,,7/16/2005,,,0,0,0,1,
Maidstone,Maidstone,,7/16/2005,,,5,1,,1,
Marshfield,Marshfield,,7/16/2005,,,0,0,,1,
Martin's,Peacham,,7/16/2005,,,3,2,,1,
May,Barton,,7/16/2005,,,3,1,,1,
McConnell,Brighton,,7/16/2005,,,2,1,,1,
Memphremagog,Newport,,7/16/2005,,,6,0,2,1,
Miles,Concord,,7/16/2005,,,3,1,,1,
Miller,Strafford,,7/16/2005,,,0,0,,1,
Mirror (No. 10),Calais,,7/16/2005,,,2,0,,1,
Mollys,Cabot,,7/16/2005,,,2,0,,1,
Molly's Falls,Cabot,,7/16/2005,,,3,1,,1,
Moore,Concord,,7/16/2005,,,2,0,,1,
Morey,Fairlee,,7/16/2005,,,3,0,,1,
Mud,Peacham,,7/16/2005,,,0,0,1,1,
Neal,Lunenburg,,7/16/2005,,,1,0,,1,
Nelson,Calais,,7/16/2005,,,1,0,,1,
Newark,Newark,,7/16/2005,,,1,2,,1,
Nichols,Woodbury,,7/16/2005,,,2,1,,1,
Ninevah,Mount Holly,,7/16/2005,,,2,2,,1,
Norton,Norton,,7/16/2005,,,13,2,,1,2 flew in at 9 am
Notch,Ferdinand,,7/16/2005,,,0,0,,1,
Nulhegan,Brighton,,7/16/2005,,,0,0,,1,
Osmore,Peacham,,7/16/2005,,,0,0,,1,
Peacham,Peacham,,7/16/2005,,,15,2,,1,
Pensioner,Charleston,,7/16/2005,,,2,0,,1,
Ricker,Groton,,7/16/2005,,,2,0,,1,
Round (Holland),Holland,,7/16/2005,,,0,0,,1,
Salem,Derby,,7/16/2005,,,0,0,,1,last year?
Seymour,,,7/16/2005,,,5,0,,1,2 on nest
Shadow (Concord),Concord,,7/16/2005,,,1,0,,1,
Shadow (Glover),Glover,,7/16/2005,,,2,0,,1,
Silver (Leicester),Leicester,,7/16/2005,,,0,0,,1,
Somerset,Somerset,,7/16/2005,,,4,3,,1,
South (Eden),Eden,,7/16/2005,,,2,2,,1,
South Bay,,,7/16/2005,,,0,0,,1,
Spectacle,Brighton,,7/16/2005,,,2,1,,1,
Stratton,Stratton,,7/16/2005,,,0,0,,1,
Sugar Hill Res.,Goshen,,7/16/2005,,,0,0,,1,
Thurman Dix,Orange,,7/16/2005,,,1,1,,1,
Ticklenaked ,,,7/16/2005,,,0,0,,1,
Turtle,Holland,,7/16/2005,,,0,0,,1,
Wallace,,,7/16/2005,,,1,0,,1,
Wallingford,Shrewsbury,,7/16/2005,,,2,0,,1,
Wapanacki,Wolcott,,7/16/2005,,,2,0,,1,
Warden,Barnet,,7/16/2005,,,0,0,,1,Friday 2 ad.
Waterbury,Waterbury,,7/16/2005,,,0,0,,1,
West Mountain,Maidstone,,7/16/2005,,,2,0,,1,
Wheeler,Brunswick,,7/16/2005,,,0,0,,1,
Wheeler,,,7/16/2005,,,0,0,,1,
Willoughby,Westmore,,7/16/2005,,,3,0,1,1,3 surveyors
Wolcott,Wolcott,,7/16/2005,,,2,2,,1,
Woodward,Plymouth,,7/16/2005,,,2,0,,1,on nest
Zack woods,Hyde Park,,7/16/2005,,,2,2,,1,
