locationname,locationtown,locationregion,locationarea,waterbodyid,locationtownid,exportname,wbtextid,wbofficialname,wbtownname,wbregion,wbarea,wbbasinarea,wbelevation,wbmaxdepth,wbmeandepth,wboutlettype,wbfullname,wbtype,wbcenterlatitude,wbcenterlongitude,wbgeocentroid,wbgeoborder
Elligo,Greensboro,nc,174,ELLIGO,55,ELLIGO,ELLIGO,Lake Elligo (Eligo Pond),Greensboro,North Central,174,3238,881,100,29,NATURAL,Lake Elligo Greensboro,Lake,44.600052,-72.3551065,,
Elmore,Elmore,nc,219,ELMORE,70,ELMORE,ELMORE,Lake Elmore,Elmore,North Central,219,5574,1139,17,11,NATURAL with ARTIFICIAL CONTROL,Lake Elmore Elmore,Lake (Artificial Control),44.5347752,-72.5253897,,
Emerald,Dorset,wc,28,EMERALD,159,EMERALD,EMERALD,Emerald Lake,Dorset,Green Mtn South,28,3630,711,40,,NATURAL with ARTIFICIAL CONTROL,Emerald Lake Dorset,Lake (Artificial Control),43.2753523,-73.0064924,,
Ewell,Peacham,nc,51,EWELL,85,EWELL,EWELL,Ewell Pond,Peacham,North Central,51,1981,1284,60,20,NATURAL with ARTIFICIAL CONTROL,Ewell Pond Peacham,Lake (Artificial Control),44.37,-72.17,,
Fairfield,Fairfield,cha-n,446,FAIRFIELD,27,FAIRFIELD,FAIRFIELD,Fairfield Pond,Fairfield,Champlain ,446,3758,550,42,23,NATURAL with ARTIFICIAL CONTROL,Fairfield Pond Fairfield,Lake (Artificial Control),44.85,-72.98,,
Fairlee,Fairlee,ec,457,FAIRLEE,123,FAIRLEE,FAIRLEE,Lake Fairlee,Thetford,East Central,457,12976,678,50,23,NATURAL with ARTIFICIAL CONTROL,Lake Fairlee Thetford,Lake (Artificial Control),43.88,-72.23,,
Fern,Leicester,wc,69,FERN,242,FERN,FERN,Fern Lake,Leicester,West Central,69,505,572,43,13,NATURAL,Fern Lake Leicester,Lake,43.8656187,-73.0698352,,
Flagg,Wheelock,nc,111,FLAGG,61,FLAGG,FLAGG,Flagg Pond,Wheelock,North Central,111,2282,1592,6,3,NATURAL,Flagg Pond Wheelock,Pond,44.5653311,-72.2073241,,
Forest,Averill,nek,62,FOREST (AVERLL),8,FOREST (AVERLL),FOREST (AVERLL),Forest Lake,Averill,NE Kingdom,62,1379,1665,13,,NATURAL with ARTIFICIAL CONTROL,Forest Lake Averill,Lake (Artificial Control),44.9847686,-71.6814803,,
Nelson,Woodbury,nc,133,FOREST (CALAIS),77,FOREST (CALAIS),FOREST (CALAIS),Forest Lake (Nelson Pond),Calais,North Central,133,2827,1070,97,49,NATURAL,Forest Lake Calais,Lake,44.4083895,-72.4412182,,
Fosters,Peacham,nc,61,FOSTERS,85,FOSTERS,FOSTERS,Fosters Pond,Peacham,North Central,61,647,1526,13,8,NATURAL,Fosters Pond Peacham,Pond,44.3297812,-72.20982,,
